,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,CBL6uetTPHg_000089_000099,CBL6uetTPHg,89.0,99.0,train,put,indoor,AN INSTRUCTOR IS SHOWN PUTTING INDOOR ROCK CLIMBING GEAR ON TWO LADIES.,put,indoor
1,BiKRPPjAzvw_000017_000027,BiKRPPjAzvw,17.0,27.0,train,lower,quickly,Two people are quickly lowered to the ground from a tall crane.,lower,quickly
2,GwlcmI36imo_000127_000137,GwlcmI36imo,127.0,137.0,train,look,down,A person climbing up a rock cliff with another person up the top looking down,look,downwards
3,yCKjqYxQn0E_000261_000271,yCKjqYxQn0E,261.0,271.0,train,smile,up,"A man abseils down a cliff, smiling back up at the camera.",smile,upwards
4,9eTXpQq9QTA_000126_000136,9eTXpQq9QTA,126.0,136.0,train,climb,down,a person using a rope to climb down a large piece of wood down to the floor,climb,downwards
5,qqJisE6m6XI_000000_000010,qqJisE6m6XI,0.0,10.0,train,hang,down,A man hangs upside down and then falls with the aid of ropes and pulleys.,mount,downwards
6,qqJisE6m6XI_000000_000010,qqJisE6m6XI,0.0,10.0,train,slide,down,A man sliding down off a building on a climbing rig.,move,downwards
7,6IbvOJxXnOo_000047_000057,6IbvOJxXnOo,47.0,57.0,train,move,down,The rock climbers are in an open area between two rocks and one of them is trying to move down.,move,downwards
8,6IbvOJxXnOo_000047_000057,6IbvOJxXnOo,47.0,57.0,train,climb,slowly,A guy is connected to a rope and slowly climbing down rocks.,climb,slowly
9,Ww61iwaFGrM_000059_000069,Ww61iwaFGrM,59.0,69.0,train,climb,outside,A man is rock climbing outside using a rope and gloves.,climb,outdoor
10,y3-3i88mNPc_000008_000018,y3-3i88mNPc,8.0,18.0,train,abseil,rapidly,"A person abseils rapidly down a high concrete wall, taking large hops",lower,quickly
11,rseBvhN6dio_000003_000013,rseBvhN6dio,3.0,13.0,train,bring,slowly,The guy is doing an exhibition as he slowly brings himself down the building.,carry,slowly
12,Zv09PB3YQAs_000010_000020,Zv09PB3YQAs,10.0,20.0,train,lower,slowly,A person is rock climbing and lowers himself slowly down a rock wall.,lower,slowly
13,Zv09PB3YQAs_000010_000020,Zv09PB3YQAs,10.0,20.0,train,propel,slowly,A male is slowly propelling down a large mountain rock.,move,slowly
