,Unnamed: 0.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,19937,video7705,Xb1pOhKmGkk,57.2,67.78,train,add,lightly,a woman s voice instructs viewers to add salt and pepper to meat cubes lightly dredge them through some flour and then set them aside,add,gently
1,10076,video3956,YKo4KKQjR8k,95.88,109.79,train,add,in,a glass bowl holds american coin currency and man adds more coins in,add,in
2,3328,video1291,uBXldG5QnDk,51.9,64.28,train,organize,correctly,best way to organize your fishing line correctly,arrange,properly
3,4056,video1584,ZFIkwRiaN9o,12.6,23.86,train,arrange,nicely,the chef had his ingredients nicely arranged in a metal pan,arrange,properly
4,17538,video6824,KdQeU5QTfYE,188.7,200.88,train,plug,in,a lady gives an explanation on plugging a power surge in,attach,in
5,12596,video4912,VjTiMtjdjTw,70.51,82.58,train,bow,outside,a woman trains a white horse to bow outside,bend,outdoor
6,14569,video5672,WqLohtxwFO0,0.0,13.8,train,blow,back,a man uses an instrument to violent blow back his opponent,breathe,backwards
7,4476,video1727,-nlD_pPKkpw,146.49,168.09,train,blow,hard,the wind blew hard,breathe,firmly
8,7828,video3088,x7UUvSyEUQg,63.97,92.13,train,blow,outside,a man talking with a woman inside and a storm blowing outside,breathe,outdoor
9,8706,video3404,ZARtmEwdKV8,344.47,355.19,train,comb,back,a man back combs to make a nineteen-twenties look,brush,backwards
10,14124,video5478,ZARtmEwdKV8,358.95,385.02,train,brush,aggressively,a man aggressively brushes hair and then talks about how to pin it,brush,firmly
11,13572,video5284,8btJRgYJKWg,358.51,370.55,train,brush,outside,a guy is brushing his teeth outside in the snow,brush,outdoor
12,23602,video9078,27dNrAtLkvo,573.51,584.18,train,burn,outside,a walkthrough of minecraft where the guy is burning things with a torch outside,burn,outdoor
13,5476,video2145,U1fu_sA7XhE,81.84,95.3,train,bring,back,butch of people running towards the ocean to bring their loved ones back to beach because of the shark,carry,backwards
14,10554,video4123,u7YAXBEPqyM,136.72,147.76,train,bring,back,a dog running out to the middle of a stream picking up a fish and bringing it back to his master,carry,backwards
15,9860,video3859,ULkzOl70pIQ,15.81,38.17,train,bring,in,a well-dressed man is surrounded by poorly dressed people and told they were sent to bring him in dead or alive,carry,in
16,18314,video7088,BbhpbztdHUg,82.26,93.27,train,carry,indoors,a woman is carrying a dog indoors,carry,indoor
17,25582,video9853,YnuRpHkg0H8,143.42,162.21,train,climb,indoors,a person is climbing a stucture indoors the interior of the structure is white,climb,indoor
18,311,video112,w0lH7HibIwA,181.56,195.58,train,climb,up,these people in blue jackets with helmets  are moving climbing the grass lands high up and then sliding down at a very tremendous speed on the skate boards,climb,upwards
19,4573,video1769,LkbVtMUshtk,198.4,209.6,train,boil,hard,a person cuts a hard boiled egg,cook,firmly
20,8321,video3271,sjCnp2l1bP4,62.48,74.62,train,boil,gently,one man making recipe in a saucepan boiling it gently,cook,gently
