,id,youtube_id,weak_timestamp,clustered_adverb,clustered_action,task_num,adverb,action,before_action,before_clustered_action,before_id,before_timestamp,after_action,after_clustered_action,after_id,after_timestamp,in_window_actions,in_window_clustered_actions,in_window_ids,in_window_timestamps,clip_id
0,2195,o3IvOsLznLA,348.20500000000015,completely,cool,16136,completely,cool,insert,insert,54885.0,340.61,bake,cook,54887.0,350.19,"['insert', 'bake', 'clean', 'make']","['insert', 'cook', 'wash', 'make']","[54885, 54887, 54888, 54889]","[340.61, 350.19, 352.85, 356.73]",o3IvOsLznLA_348-20500000000015
1,7851,v2l-QRrp2hA,231.495,slowly,add,34938,slowly,add,whisk,mix,527228.0,228.87,,,,,['whisk'],['mix'],[527228],[228.87],v2l-QRrp2hA_231-495
2,12263,h8Pg_0A2F6U,51.08,slowly,roll,29477,slowly,roll,make,make,481189.0,49.19,cut,cut,481191.0,64.19,"['remove', 'make']","['take', 'make']","[481188, 481189]","[45.76, 49.19]",h8Pg_0A2F6U_51-08
3,14851,ouisu8sEFmM,292.19,slowly,add,75501,slowly,add,whisk,mix,24733.0,289.58,boil,cook,24735.0,292.92,"['boil', 'start', 'scramble', 'whisk', 'boil']","['cook', 'start', 'mix', 'mix', 'cook']","[24729, 24730, 24732, 24733, 24735]","[282.7, 282.8, 286.39, 289.58, 292.92]",ouisu8sEFmM_292-19
4,1832,iLFo3-mHIRc,86.85,slowly,pour,51659,slowly,pour,distribute,spread,432436.0,53.89,add,add,432438.0,92.57,['add'],['add'],[432438],[92.57],iLFo3-mHIRc_86-85
5,2931,sFD1P66XtzY,740.1,completely,cover,26618,completely,cover,stop,stop,552021.0,643.49,cook,cook,552023.0,782.68,[],[],[],[],sFD1P66XtzY_740-1
6,16956,43O1Tz186zA,269.455,completely,set,85159,completely,set,smooth,spread,76955.0,239.23,cover,cover,76957.0,272.44,['cover'],['cover'],[76957],[272.44],43O1Tz186zA_269-455
7,2340,keYQHRIvcIk,239.49,partially,twist,16136,slightly,loosen,drizzle,sprinkle,56247.0,229.77,fill,fill,56250.0,241.77,"['drizzle', 'soak', 'fill', 'pour']","['sprinkle', 'soak', 'fill', 'pour']","[56247, 56248, 56250, 56251]","[229.77, 229.53, 241.77, 248.09]",keYQHRIvcIk_239-49
8,13734,tYDJDiAEjL8,281.1,slowly,cook,41718,slowly,cook,turn,turn,594673.0,277.6,sit,sit,594675.0,300.79,['turn'],['turn'],[594673],[277.6],tYDJDiAEjL8_281-1
9,12359,D3H_or1UXu0,108.83,quickly,cook,29477,quickly,sear,prepare,make,478879.0,101.75,remove,take,478881.0,117.77,"['prepare', 'remove']","['make', 'take']","[478879, 478881]","[101.75, 117.77]",D3H_or1UXu0_108-83
10,1113,56GLB6ot3m8,191.76,completely,dip,105259,fully,submerge,form,make,13114.0,176.22,add,add,13117.0,195.97,['add'],['add'],[13117],[195.97],56GLB6ot3m8_191-76
11,12258,cbBWHigMaNQ,41.265,partially,cook,29477,slightly,caramelize,combine,mix,482129.0,22.99,melt,melt,482131.0,49.45,['melt'],['melt'],[482131],[49.45],cbBWHigMaNQ_41-265
12,5891,7dapwvMYaEw,27.75500000000001,completely,take,40566,completely,remove,,,,,break,separate,86685.0,75.92,[],[],[],[],7dapwvMYaEw_27-75500000000001
13,3714,DXlMI5H2R-c,73.015,quickly,cool,109761,quickly,cool,transfer,move,418033.0,68.01,boil,cook,418035.0,76.59,"['transfer', 'boil']","['move', 'cook']","[418033, 418035]","[68.01, 76.59]",DXlMI5H2R-c_73-015
14,5309,-QVWJmzut8o,1102.675,completely,cool,101028,totally,cool,stick,stick,104880.0,1095.07,stick,stick,104882.0,1105.32,"['stick', 'stick']","['stick', 'stick']","[104880, 104882]","[1095.07, 1105.32]",-QVWJmzut8o_1102-675
15,14301,WfsA7OiQIdI,812.81,completely,cook,114508,fully,cook,stick,stick,457865.0,808.0,build,make,457867.0,824.24,['stick'],['stick'],[457865],[808.0],WfsA7OiQIdI_812-81
