,Unnamed: 0.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,17,9eTXpQq9QTA_000126_000136,9eTXpQq9QTA,126.0,136.0,train,climb,down,a person using a rope to climb down a large piece of wood down to the floor,climb,downwards
1,24,6IbvOJxXnOo_000047_000057,6IbvOJxXnOo,47.0,57.0,train,climb,carefully,Two people carefully climbing down a mountain through a crack.,climb,carefully
2,25,6IbvOJxXnOo_000047_000057,6IbvOJxXnOo,47.0,57.0,train,climb,slowly,A guy is connected to a rope and slowly climbing down rocks.,climb,slowly
3,35,rseBvhN6dio_000003_000013,rseBvhN6dio,3.0,13.0,train,bring,slowly,The guy is doing an exhibition as he slowly brings himself down the building.,carry,slowly
4,42,C0VVxIhDp9Q_000021_000031,C0VVxIhDp9Q,21.0,31.0,train,climb,slowly,A child slowly climbs down a cliff with a rope,climb,slowly
5,46,0wR5jVB-WPk_000417_000427,0wR5jVB-WPk,417.0,427.0,train,climb,gently,A man is using a long rope to gently climb down a mountain.,climb,gently
6,62,p1VKQa4N-hg_000000_000010,p1VKQa4N-hg,0.0,10.0,train,climb,slowly,A guy is using a rope to slowly climb down a rock wall.,climb,slowly
7,65,yq_M1PMw2hY_000038_000048,yq_M1PMw2hY,38.0,48.0,train,climb,slowly,A person is using a device to slowly climb down from a tree.,climb,slowly
8,71,YHCT_kezpfk_000063_000073,YHCT_kezpfk,63.0,73.0,train,climb,down,A person engages in the activity of rock climbing where they are climbing down and socializing with someone else.,climb,downwards
9,82,VHJGX13S_UY_000554_000564,VHJGX13S_UY,554.0,564.0,train,climb,down,Two people are on the side of a building climbing down.,climb,downwards
10,97,YgzCJmncmUA_000027_000037,YgzCJmncmUA,27.0,37.0,train,climb,slowly,Two people are slowly climbing down a steep rock wall.,climb,slowly
11,121,yZEECZMPoDc_000130_000140,yZEECZMPoDc,130.0,140.0,train,lean,back,"Man nods in agreement, another man talks, man leans back in agreement, man talks, and man shakes head.",tilt,backwards
12,133,lJt4kfs38mE_000000_000010,lJt4kfs38mE,0.0,10.0,train,wander,off,"Three adults stand tage left with a young boy and a girl stage right in front of an audience, as boy wanders off and the girl calls the adults over",walk,off
13,144,dJ7grQeSC9k_000114_000124,dJ7grQeSC9k,114.0,124.0,train,speak,loudly,A man is speaking loudly while a woman is sitting beside him watching.,talk,loudly
14,195,ZHPY-6iIQJE_000014_000024,ZHPY-6iIQJE,14.0,24.0,train,walk,out,"A man is speaking on a stage with a black background and a table, and a woman walks out to the table.",walk,out
15,203,BR0RHXGuEas_000243_000253,BR0RHXGuEas,243.0,253.0,train,look,forward,A man on a stage holding something looks offstage then forward as he speaks.,look,forwards
16,209,CFXqyl4C1J4_000238_000248,CFXqyl4C1J4,238.0,248.0,train,remove,slowly,"A group of people are standing covering their faces with their hands and removing it slowly,",take,slowly
17,261,XrzsgvTECL8_000031_000041,XrzsgvTECL8,31.0,41.0,train,turn,back,"A woman puts on glasses, turns her head to the side, turns back, and takes them off.",turn,backwards
18,315,3--MxURLDzM_000007_000017,3--MxURLDzM,7.0,17.0,train,fall,back,A rambunctious young girl records herself as she laughingly describes a challenge in which she raises her glasses to her forehead and initiates them to falling back into place onto her nose using a facial gesture.,fall,backwards
19,319,3--MxURLDzM_000007_000017,3--MxURLDzM,7.0,17.0,train,pull,back,A girl is making weird funny faces and pulls her hair back.,pull,backwards
20,349,hNbp9IL57hI_000029_000039,hNbp9IL57hI,29.0,39.0,train,spring,back,A person is demonstrating the flexibility of an eyeframe by twisting the front and bending the earpieces as it springs back to its original shape.,jump,backwards
21,389,GcLumVOPVEQ_000545_000555,GcLumVOPVEQ,545.0,555.0,train,talk,loudly,A young girl talks into the camera to another girl very loudly.,talk,loudly
22,400,F3-vyVQ63Z4_000250_000260,F3-vyVQ63Z4,250.0,260.0,train,pull,back,A woman is talking and recording another woman; the woman being recorded pulls her hair back.,pull,backwards
23,432,nd9oT-s_ISI_000004_000014,nd9oT-s_ISI,4.0,14.0,train,talk,loudly,A young girl is pretending to be playing drums and talks loudly at the camera while holding up a rock on hand sign.,talk,loudly
24,454,CSz0mcaxur4_000007_000017,CSz0mcaxur4,7.0,17.0,train,sit,indoors,a man with a stick in his hand sitting on a chair indoors,sit,indoor
25,460,eZTQRUBQxqw_000031_000041,eZTQRUBQxqw,31.0,41.0,train,drum,loudly,A man who is sitting down drums loudly on a drum set.,hit,loudly
26,464,cs4UM8n4-Jc_000311_000321,cs4UM8n4-Jc,311.0,321.0,train,sit,outside,A male is sitting at a drum kit outside on the grass playing the drums.,sit,outdoor
27,466,cs4UM8n4-Jc_000311_000321,cs4UM8n4-Jc,311.0,321.0,train,play,outdoors,A man plays drums on a drum kit outdoors while music plays.,play,outdoor
28,475,X50XtZb0WwU_000000_000010,X50XtZb0WwU,0.0,10.0,train,play,loudly,"A toddler is sitting down and as he listens to music playing loudly in the background, simulates himself playing a set of drums, along with the beat of the music.",play,loudly
29,487,hcM3tCmCADE_000019_000029,hcM3tCmCADE,19.0,29.0,train,play,inside,A boy is asking his dad what song is being played inside of the car.,play,indoor
30,491,btX0PMRlEPg_000001_000011,btX0PMRlEPg,1.0,11.0,train,hold,outside,Two male friends are air drumming while holding some flowers outside together.,hold,outdoor
31,503,mQYuteamGwA_000003_000013,mQYuteamGwA,3.0,13.0,train,play,outside,A man and a woman are dancing to music that is playing outside.,play,outdoor
32,504,mQYuteamGwA_000003_000013,mQYuteamGwA,3.0,13.0,train,dance,outside,Men and one woman dance outside at night.,dance,outdoor
33,551,EL5yddWPW-Q_000009_000019,EL5yddWPW-Q,9.0,19.0,train,pull,back,"A person crosses a shallow pond towards a man holding a large crocodile by the tail, and pulling it back when it runs forward.",pull,backwards
34,560,1cWTEvQgvwg_000016_000026,1cWTEvQgvwg,16.0,26.0,train,pull,back,A man straddling an alligator and then proceeds to pull its head back and mouth open.,pull,backwards
35,561,1cWTEvQgvwg_000016_000026,1cWTEvQgvwg,16.0,26.0,train,stick,in,Man sitting on an alligator while prying its mouth open to stick his hand in.,stick,in
36,571,w5GP7q64zo0_000000_000010,w5GP7q64zo0,0.0,10.0,train,open,slowly,A man holds an alligator's mouth closed and slowly opens it.,open,slowly
37,572,w5GP7q64zo0_000000_000010,w5GP7q64zo0,0.0,10.0,train,open,carefully,A man is opening alligator's mouth carefully and showing his teeth to the customers.,open,carefully
38,578,I236Du9_PfQ_000163_000173,I236Du9_PfQ,163.0,173.0,train,pull,backwards,A man is sitting on the back of an alligator pulling it's head backwards.,pull,backwards
39,586,eGvtkEd8iFg_000105_000115,eGvtkEd8iFg,105.0,115.0,train,pull,backwards,A man is sitting on an alligator and pulling it backwards by its shoulders,pull,backwards
40,591,MiDDlz6iuvw_000117_000127,MiDDlz6iuvw,117.0,127.0,train,remove,quickly,"A man puts his hand in a crocodiles mouth, then removes it quickly as animal bites",take,quickly
41,599,MiDDlz6iuvw_000117_000127,MiDDlz6iuvw,117.0,127.0,train,pull,back,A man is demonstrating his hand speed by putting it within the open mouth of an alligator and then pulling it back as the animal closes its mouth.,pull,backwards
42,611,W7j6V77LM38_000004_000014,W7j6V77LM38,4.0,14.0,train,pull,backwards,Two alligators are in green water and a man pulls the one backwards by its tail.,pull,backwards
43,620,ynpSuN4Gpmw_000000_000010,ynpSuN4Gpmw,0.0,10.0,train,sit,outdoors,Man sitting on top of alligator outdoors while pulling on alligators neck.,sit,outdoor
44,629,p-cY0tTnYmg_000001_000011,p-cY0tTnYmg,1.0,11.0,train,pull,back,A man without a shirt and his hair pulled back is dragging a crocodile toward us and then he jumps on top of it,pull,backwards
45,634,l-RW78RmUS8_000052_000062,l-RW78RmUS8,52.0,62.0,train,pull,backwards,A man is pulling a crocodile backwards by the tail in a big pond of water.,pull,backwards
46,650,NTVUMI0JY1I_000006_000016,NTVUMI0JY1I,6.0,16.0,train,pull,back,"Man straddles alligator's back, pulls alligator's head back toward him and keeps alligator's mouth shut with his hands.",pull,backwards
47,654,gghcDrBpq-0_000045_000055,gghcDrBpq-0,45.0,55.0,train,turn,back,"A man straightens out a small alligator, that tries to turn back and snap at him.",turn,backwards
48,697,wdEcmPUnNzQ_000275_000285,wdEcmPUnNzQ,275.0,285.0,train,sit,outside,A man and a woman are sitting outside and answering questions about bees.,sit,outdoor
49,702,SLJBlFHPinU_000356_000366,SLJBlFHPinU,356.0,366.0,train,speak,indoors,A woman in a head dress speaking a foreign language indoors,talk,indoor
50,703,boxfNbR2-j4_000678_000688,boxfNbR2-j4,678.0,688.0,train,laugh,lightly,"A few people are sitting around a table inside, talking and laughing lightly.",laugh,gently
51,740,wTdO7pISUgs_000049_000059,wTdO7pISUgs,49.0,59.0,train,lean,forward,A man stands behind a podium and talks into a microphone while reading from a paper and looking up intermittently and another man leans forward and talks into another microphone.,tilt,forwards
52,768,ai59xGTp2bo_000008_000018,ai59xGTp2bo,8.0,18.0,train,drive,slowly,A line of vans drives slowly through a narrow path as a large crowd watches and applauds,drive,slowly
53,783,PKny3LkwR7c_000008_000018,PKny3LkwR7c,8.0,18.0,train,clap,loud,a group of people in a venue clapping loud together,clap,loudly
54,814,sJVpRaqJ-I8_000000_000010,sJVpRaqJ-I8,0.0,10.0,train,look,forward,"People are shown from the back of a room, seated and looking forward, as they applaud in unison.",look,forwards
55,821,i4ssdweKkZY_000000_000010,i4ssdweKkZY,0.0,10.0,train,fall,forward,Toddler stands and claps along with others and almost falls forward onto tricycle.,fall,forwards
56,829,krN9P22ZURk_000016_000026,krN9P22ZURk,16.0,26.0,train,speak,loudly,Several people are loudly speaking to each other at a party.,talk,loudly
57,830,krN9P22ZURk_000016_000026,krN9P22ZURk,16.0,26.0,train,talk,loudly,There are two man and two women at a bar talking loudly and cussing,talk,loudly
58,865,t5fAR8y0lb0_000098_000108,t5fAR8y0lb0,98.0,108.0,train,walk,noisily,Groups of people noisily walk through a very crowded airport terminal.,walk,loudly
59,866,iuJgXPBvrWU_000000_000010,iuJgXPBvrWU,0.0,10.0,train,look,backwards,Two girls in jailhouse costumes clap while one of them looks backwards.,look,backwards
60,907,M_iCOtGn9S0_000012_000022,M_iCOtGn9S0,12.0,22.0,train,put,properly,A woman is sitting on a couch demonstrating how to properly put lotion on her legs.,put,properly
61,938,j7VkvDry8NA_000009_000019,j7VkvDry8NA,9.0,19.0,train,apply,gently,A woman gently applies cream onto her fingers and then onto her cheekbones.,spread,gently
62,940,j7VkvDry8NA_000009_000019,j7VkvDry8NA,9.0,19.0,train,tap,carefully,A woman applies product to her fingers and then carefully taps it at the corners of her eyes.,hit,carefully
63,953,xfTN7dmHB1w_000007_000017,xfTN7dmHB1w,7.0,17.0,train,apply,gently,Someone gently applies a cream to the eyelids of an elderly woman.,spread,gently
64,959,zA42d5OTSXU_000042_000052,zA42d5OTSXU,42.0,52.0,train,rub,gently,"A woman sits at at table and spreads cream on two fingers, which she dabs and gently rubs around her eyes.",spread,gently
65,1017,BY0883Dvt1c_000020_000030,BY0883Dvt1c,20.0,30.0,train,massage,gently,A woman gently massages a cream into her face in a commercial advertisement.,knead,gently
66,1033,tcqZLCH3TUQ_000031_000041,tcqZLCH3TUQ,31.0,41.0,train,rub,in,A woman applies a cream by rubbing it in with circular motions in a split screen.,spread,in
67,1037,EcD6Ae2frs4_000171_000181,EcD6Ae2frs4,171.0,181.0,train,toss,carelessly,Two men wearing turbans carelessly toss buckets of dirt from an archaeological site they are excavating.,throw,carelessly
68,1045,ICzjp1d9FiE_000098_000108,ICzjp1d9FiE,98.0,108.0,train,use,outside,"While outside, someone uses a large vehicle with a crane to move dirt from one area to another.",use,outdoor
69,1093,8r_grWQnERE_000195_000205,8r_grWQnERE,195.0,205.0,train,dig,inside,A group of people are digging inside of graves at an archaeological site.,scoop,indoor
70,1103,9NaSUTkmwks_000034_000044,9NaSUTkmwks,34.0,44.0,train,dig,outside,Outside a man is digging a square hole in the dirt.,scoop,outdoor
71,1146,khoHrQXFvAM_000009_000019,khoHrQXFvAM,9.0,19.0,train,dig,carefully,A person is carefully digging in the dirt with a small shovel.,scoop,carefully
72,1150,rqIe-C6nEv0_000004_000014,rqIe-C6nEv0,4.0,14.0,train,hit,outside,A family encourages a girl who is practicing hitting water balloons outside with archery.,hit,outdoor
73,1151,4hxnP0stMN0_000003_000013,4hxnP0stMN0,3.0,13.0,train,use,outside,A man is using a crossbow outside and shooting it in a field,use,outdoor
74,1160,QhVGsWEIVOE_000000_000010,QhVGsWEIVOE,0.0,10.0,train,pull,back,A man with a bow and arrow slowly pulls the arrow back as if he is about to shoot.,pull,backwards
75,1171,pWOl7B7jf0U_000000_000010,pWOl7B7jf0U,0.0,10.0,train,pull,back,A woman pulls back on a bow and fires an arrow at a block of wood.,pull,backwards
76,1177,DaTCCMQfJ20_000467_000477,DaTCCMQfJ20,467.0,477.0,train,shoot,outside,"A target is shot with a bow and arrow, outside.",shoot,outdoor
77,1181,S0Xwh6F6tz0_000031_000041,S0Xwh6F6tz0,31.0,41.0,train,pull,outside,Outside in a yard a girl is pulling back an arrow from a bow.,pull,outdoor
78,1182,S0Xwh6F6tz0_000031_000041,S0Xwh6F6tz0,31.0,41.0,train,pull,back,Outside in a yard a girl is pulling back an arrow from a bow.,pull,backwards
79,1190,io3iO6BtDMo_000000_000010,io3iO6BtDMo,0.0,10.0,train,shoot,outside,A person uses a bow and arrow to shoot at a target outside.,shoot,outdoor
80,1217,it-IIR-qUIg_000150_000160,it-IIR-qUIg,150.0,160.0,train,play,inside,A group of people play an archery game inside against each other.,play,indoor
81,1224,3and4vWkW4s_000011_000021,3and4vWkW4s,11.0,21.0,train,shoot,down,Two people aim and shoot a bow at a target down in a shooting range.,shoot,downwards
82,1226,9W09aRkVYC4_000004_000014,9W09aRkVYC4,4.0,14.0,train,pull,back,A man prepares a bow and then he and a second man aim and pull back to release arrows.,pull,backwards
83,1233,O9cTHUPbLE8_000090_000100,O9cTHUPbLE8,90.0,100.0,train,sit,outdoors,A man sitting outdoors smiles and nods at the camera.,sit,outdoor
84,1242,qhUuaUIH9iU_000000_000010,qhUuaUIH9iU,0.0,10.0,train,pull,back,"A person reaches for an arrow, places it against a bow, and pulls the bowstring back.",pull,backwards
85,1265,V3QqvLD5834_000002_000012,V3QqvLD5834,2.0,12.0,train,play,outside,Outside a young man is playing a archery and the arrow bounces of a fire hydrant,play,outdoor
86,1269,6hZC8cEONUw_000020_000030,6hZC8cEONUw,20.0,30.0,train,shoot,properly,A man is instructing a boy to shoot an arrow properly and the boy releases an arrow but misses his target.,shoot,properly
87,1277,c0cYF6RwWmg_000003_000013,c0cYF6RwWmg,3.0,13.0,train,pull,back,A woman pulls back a bow and shoots at a target in the distance.,pull,backwards
