,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,4038,26969,fICnvQryOao_000188_000198,fICnvQryOao,188.0,198.0,train,add,carefully,A guy is carefully adding some feathers onto his fishing hook.,add,carefully
1,58,301,KEGqZ8mTsdk_000007_000017,KEGqZ8mTsdk,7.0,17.0,train,adjust,constantly,A baby boy constantly adjusts his blue-rimmed eye-glasses when moved by someone.,adjust,continuously
2,12410,79973,E0C2d_EpfNA_000115_000125,E0C2d_EpfNA,115.0,125.0,train,adjust,indoors,"A person adjusts their tie indoors, then they give a thumbs up gesture.",adjust,indoor
3,2299,15247,NeKX8npjQMY_000043_000053,NeKX8npjQMY,43.0,53.0,train,manipulate,outside,Outside a man manipulates an object by throwing in the air and then changes its shape.,adjust,outdoor
4,3867,25736,UJwoPV_dVbY_000000_000010,UJwoPV_dVbY,0.0,10.0,train,approach,cautiously,A girl is cautiously approaching a goat to feed it as a woman cheers her on.,approach,carefully
5,4603,30493,7YvcDe3Rt1k_000171_000181,7YvcDe3Rt1k,171.0,181.0,train,straighten,upwards,A woman is balancing upside down on her arms and is talking while straightening her legs upwards.,arrange,upwards
6,8799,57158,4suZ6WUixMI_000075_000085,4suZ6WUixMI,75.0,85.0,train,attach,carefully,A woman carefully attaches a false eyelash to one eye,attach,carefully
7,261,1963,zXvn3gZCeqI_000317_000327,zXvn3gZCeqI,317.0,327.0,train,connect,inside,A woman is demonstrating how to connect a wire inside of a computer tower.,attach,indoor
8,268,1993,j7XRhRBKvm4_000218_000228,j7XRhRBKvm4,218.0,228.0,train,connect,inside,A person is tying and then connecting loose cables inside of a computer.,attach,indoor
9,2168,14677,O02pJn1BaBk_000006_000016,O02pJn1BaBk,6.0,16.0,train,attach,outdoors,Women in shape climbing up a rope attached to a tree outdoors.,attach,outdoor
10,861,5852,ooxxyCKWbUo_000021_000031,ooxxyCKWbUo,21.0,31.0,train,bind,perfectly,A man demonstrating how a machine perfectly binds a book.,attach,properly
11,3960,26312,W9sp8C-YWO8_000022_000032,W9sp8C-YWO8,22.0,32.0,train,attach,properly,A man demonstrates how to attach the back wheel of a bike properly.,attach,properly
12,5268,34176,uCxS1Igj-HM_000218_000228,uCxS1Igj-HM,218.0,228.0,train,attach,properly,A man is sowing how to properly attach and lay out carpet on a flight of stairs,attach,properly
13,6388,41931,IoOIuVF_kM0_000014_000024,IoOIuVF_kM0,14.0,24.0,train,attach,properly,A woman shows how to properly attach a mattress pad to the mattress with velcro strips and then how to put the sheet on over the pad.,attach,properly
14,52,267,Pb-uJ_wSK_0_000037_000047,Pb-uJ_wSK_0,37.0,47.0,train,bend,backwards,Twp gloved hands bend a pair of glasses backwards and shows how they go back to their shape.,bend,backwards
15,529,3888,zkyy5cC7SL4_000000_000010,zkyy5cC7SL4,0.0,10.0,train,bend,backwards,"A woman dressed in belly-dancing attire is seen dancing to music with a long stick that she drapes over herself and bends over backwards while she balances the stick, before returning upright.",bend,backwards
16,553,4023,2KQ1mvI_k2Y_000000_000010,2KQ1mvI_k2Y,0.0,10.0,train,bend,backwards,A girl outside bends backwards with her feet and hands on the ground.,bend,backwards
17,558,4038,rh-UVj0wPtw_000006_000016,rh-UVj0wPtw,6.0,16.0,train,bend,backward,In a gym a girl bends over backward and touches the floor with her hands.,bend,backwards
18,560,4043,UtCaaaiHLhY_000142_000152,UtCaaaiHLhY,142.0,152.0,train,bend,backwards,A woman is inside and is bending backwards to hold a bridge pose.,bend,backwards
19,564,4052,T31lDSNTmsY_000006_000016,T31lDSNTmsY,6.0,16.0,train,bend,backwards,A man is deomonstrating a move where he bends backwards with his hands on his hips.,bend,backwards
20,565,4060,_zyHfkpeitg_000076_000086,_zyHfkpeitg,76.0,86.0,train,bend,backwards,Gymnastics coach helps young girls to bend over backwards on mats in a gym.,bend,backwards
21,567,4070,0SuAwpjkU0c_000007_000017,0SuAwpjkU0c,7.0,17.0,train,bend,backwards,"A woman is standing in a room and bends backwards all the way,",bend,backwards
22,570,4080,4dLdF7J2hGc_000008_000018,4dLdF7J2hGc,8.0,18.0,train,bend,backwards,A singer performs on stage while bending backwards and holding a microphone in his right hand.,bend,backwards
23,578,4099,TCRDSwJWKFQ_000003_000013,TCRDSwJWKFQ,3.0,13.0,train,bend,backward,A bunch of people are standing around and then someone tries to bend backward but does not quite make it.,bend,backwards
24,581,4111,JZs4hU1HS3Y_000000_000010,JZs4hU1HS3Y,0.0,10.0,train,bend,backward,Someone is bending backward to touch the ground in a room.,bend,backwards
25,583,4116,0gQxSyreT3Q_000008_000018,0gQxSyreT3Q,8.0,18.0,train,bend,backward,Two women on a beach laughing then one of the woman bend backward.,bend,backwards
26,584,4121,ImWySuMRbXY_000016_000026,ImWySuMRbXY,16.0,26.0,train,bend,backwards,"A woman approaches a child, lifts her arms and bends her backwards.",bend,backwards
