,Unnamed: 0.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,16663,v_mB0MeZjjCmU_15_58,mB0MeZjjCmU,15.01,58.95,train,add,gradually,They are then put in a silver bowl and they are whisked at a rapid pace as sugar is gradually added it and the whipping continues.,add,gradually
1,13720,v_XThYcZoFMMs_82_156,XThYcZoFMMs,82.84,156.95,train,add,in, They add the eggs in one by one while the mixer is still mixing and then they turn it off and add some more in.,add,in
2,3380,v_aa-bFJZmcko_79_176,aa-bFJZmcko,79.71,176.63,train,adjust,continuously, The person continuously adjusts the bike and pans the camera all around it in the end.,adjust,continuously
3,55729,v_mmgoptOJM0s_1_8,mmgoptOJM0s,1.03,8.21,val_1,switch,briefly, The view switches briefly to a shot from above and the room is dark and small.,adjust,partially
4,7126,v_fFWHlFZEm3M_0_93,fFWHlFZEm3M,0.0,93.23,train,approach,quickly,"A humongous red, black and white ship is shown on the water, then a smaller ship is shown quickly approaching the boat that is filming and suddenly it crashes into the boat and it has black smoke coming from the top of it.",approach,quickly
5,68760,v_hXSee4C6pyE_22_74,hXSee4C6pyE,22.88,74.27,val_2,attach,completely,  The chain is attached with two metal clasps and the final results are shown with the chain completely attached to the bicycle.,attach,completely
6,51857,v_F9Wv_Lxe_QM_18_28,F9Wv_Lxe_QM,18.94,28.63,val_1,attach,down," He falls, the rope attached still, a long down into a ravine, so far that is is hard to see him.",attach,downwards
7,1451,v_HVfr9FnEj-Q_92_98,HVfr9FnEj-Q,92.47,98.13,train,bend,backwards, The ladies dip and bend backwards.,bend,backwards
8,2219,v_qf5wMRlZYnQ_55_231,qf5wMRlZYnQ,55.61,231.69,train,bend,backwards, She continues the routine and ends by shaking her hair around and bending backwards to pose.,bend,backwards
9,2976,v_We9NR-CaIgM_83_136,We9NR-CaIgM,83.94,136.29,train,bend,backwards, Boys bend his body backwards until the feet reach the ground.,bend,backwards
10,29941,v_LkwkGj27pP8_0_13,LkwkGj27pP8,0.42,13.12,train,bend,continuously,A man is seen leaning onto a fence and continuously bending down to dip paint into a bucket.,bend,continuously
11,936,v_BgsxbT9RCeg_15_22,BgsxbT9RCeg,15.65,22.49,train,bend,forward,A woman ballerina dressed in a pink skirt and white blouse is standing in pose with her back bent forward and hands on her sides on a stage.,bend,forwards
12,1350,v_HNBiW2Nq318_1_22,HNBiW2Nq318,1.6,22.62,train,bend,forward,A person is seen bending forward on a gymnastics beam while moving his hands up to keep balance.,bend,forwards
