,id,youtube_id,weak_timestamp,clustered_adverb,clustered_action,task_num,adverb,action,before_action,before_clustered_action,before_id,before_timestamp,after_action,after_clustered_action,after_id,after_timestamp,in_window_actions,in_window_clustered_actions,in_window_ids,in_window_timestamps,clip_id
0,36,2c_w47Tv2-U,181.965,coarsely,spread,53204,coarsely,apply,close,close,195153.0,147.61,remove,take,195159.0,239.19,[],[],[],[],2c_w47Tv2-U_181-965
1,60,vG_M2QIAsX4,209.825,finely,cut,20880,thinly,chop,mix,mix,43742.0,156.44,pour,pour,43744.0,231.18,[],[],[],[],vG_M2QIAsX4_209-825
2,66,DDNCgdap0gU,171.25,finely,cut,20880,finely,slice,cut,cut,40208.0,166.38,pop,put,40211.0,177.72,"['cut', 'pop']","['cut', 'put']","[40208, 40211]","[166.38, 177.72]",DDNCgdap0gU_171-25
3,68,XqETe_ltl7Q,7.93,finely,cut,20880,thinly,slice,,,,,add,add,43311.0,18.05,[],[],[],[],XqETe_ltl7Q_7-93
4,69,XqETe_ltl7Q,14.93,finely,cut,20880,thinly,slice,,,,,add,add,43311.0,18.05,['add'],['add'],[43311],[18.05],XqETe_ltl7Q_14-93
5,71,Ybskp5DZkS4,89.89500000000002,finely,cut,20880,thinly,slice,pop,put,39310.0,87.13,add,add,39313.0,97.92,"['cut', 'pop', 'add']","['cut', 'put', 'add']","[39309, 39310, 39313]","[84.85, 87.13, 97.92]",Ybskp5DZkS4_89-89500000000002
6,75,gleXuoTsZak,214.525,finely,cut,20880,thinly,slice,drizzle,sprinkle,43364.0,191.64,drizzle,sprinkle,43366.0,223.56,['drizzle'],['sprinkle'],[43366],[223.56],gleXuoTsZak_214-525
7,86,IavtGfKsVVc,128.04500000000002,finely,cut,20880,fine,mince,chop,cut,44568.0,103.14,dice,cut,44570.0,143.57,[],[],[],[],IavtGfKsVVc_128-04500000000002
8,87,4ZeKDE2WOlw,72.89,finely,cut,20880,finely,chop,use,use,38174.0,60.9,start,start,38177.0,89.87,[],[],[],[],4ZeKDE2WOlw_72-89
9,88,JCDpHgYwawM,34.9,finely,cut,20880,finely,chop,make,make,42714.0,26.58,boil,cook,42717.0,54.49,"['start', 'make']","['start', 'make']","[42713, 42714]","[26.03, 26.58]",JCDpHgYwawM_34-9
10,98,G3bslRSA9wA,54.69,finely,cut,20880,fine,chop,use,use,42030.0,40.02,slice,cut,42033.0,57.76,"['slice', 'slice']","['cut', 'cut']","[42033, 42034]","[57.76, 59.25]",G3bslRSA9wA_54-69
11,103,AC6BcENcu_0,111.255,finely,cut,20880,fine,chop,drain,drain,43007.0,65.3,dice,cut,43009.0,119.97,['dice'],['cut'],[43009],[119.97],AC6BcENcu_0_111-255
12,104,AC6BcENcu_0,187.345,finely,cut,20880,finely,chop,make,make,43013.0,183.87,dice,cut,43015.0,191.47,"['dice', 'make', 'dice']","['cut', 'make', 'cut']","[43012, 43013, 43015]","[181.13, 183.87, 191.47]",AC6BcENcu_0_187-345
13,106,v48sCZU3PXw,43.865,finely,cut,20880,finely,chop,mash,press,39999.0,37.21,add,add,40001.0,58.74,"['start', 'mash']","['start', 'press']","[39998, 39999]","[35.36, 37.21]",v48sCZU3PXw_43-865
14,107,hhkTHfsl_iM,52.175,finely,cut,20880,finely,slice,bring,carry,44509.0,38.37,simmer,cook,44510.0,55.0,"['simmer', 'cook']","['cook', 'cook']","[44510, 44511]","[55.0, 59.39]",hhkTHfsl_iM_52-175
15,118,KgHN7mG-Y2I,125.075,finely,cut,20880,finely,chop,mash,press,46103.0,121.1,add,add,46105.0,129.02,"['add', 'boil', 'break', 'mash', 'add']","['add', 'cook', 'separate', 'press', 'add']","[46100, 46101, 46102, 46103, 46105]","[116.12, 117.54, 117.7, 121.1, 129.02]",KgHN7mG-Y2I_125-075
16,120,rOA-ykXJldk,71.18,finely,cut,20880,finely,chop,add,add,44605.0,64.18,add,add,44607.0,71.52,"['add', 'add']","['add', 'add']","[44605, 44607]","[64.18, 71.52]",rOA-ykXJldk_71-18
17,124,o8T5DhybZb4,54.13,finely,cut,20880,finely,chop,start,start,41848.0,48.91,mix,mix,41851.0,118.76,['start'],['start'],[41848],[48.91],o8T5DhybZb4_54-13
18,125,o8T5DhybZb4,64.435,finely,cut,20880,finely,chop,start,start,41848.0,48.91,mix,mix,41851.0,118.76,[],[],[],[],o8T5DhybZb4_64-435
19,126,ZKn5uIlYfF0,41.005,finely,cut,20880,finely,slice,boil,cook,43379.0,33.38,make,make,43381.0,53.93,['boil'],['cook'],[43379],[33.38],ZKn5uIlYfF0_41-005
20,129,34k9Ncr0MCk,7.0150000000000015,finely,cut,20880,finely,chop,prepare,make,39746.0,6.45,add,add,39747.0,16.47,"['prepare', 'add']","['make', 'add']","[39746, 39747]","[6.45, 16.47]",34k9Ncr0MCk_7-0150000000000015
21,136,4OQakPZbvio,15.725,finely,cut,20880,finely,chop,,,,,prepare,make,46248.0,53.48,[],[],[],[],4OQakPZbvio_15-725
22,139,4OQakPZbvio,122.79,finely,cut,20880,finely,chop,add,add,46258.0,121.19,mix,mix,46260.0,125.04,"['clean', 'boil', 'add', 'mix']","['wash', 'cook', 'add', 'mix']","[46256, 46257, 46258, 46260]","[115.0, 116.65, 121.19, 125.04]",4OQakPZbvio_122-79
23,140,vj_DykfQgXQ,243.785,finely,cut,20880,thinly,slice,add,add,37492.0,236.02,add,add,37494.0,250.05,"['add', 'add']","['add', 'add']","[37492, 37494]","[236.02, 250.05]",vj_DykfQgXQ_243-785
24,144,JpCnz41AUt8,388.455,finely,cut,20880,fine,chop,cut,cut,39906.0,380.39,start,start,39907.0,393.15,"['cut', 'start']","['cut', 'start']","[39906, 39907]","[380.39, 393.15]",JpCnz41AUt8_388-455
