,Unnamed: 0.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,4,CBL6uetTPHg_000089_000099,CBL6uetTPHg,89.0,99.0,train,put,indoor,AN INSTRUCTOR IS SHOWN PUTTING INDOOR ROCK CLIMBING GEAR ON TWO LADIES.,put,indoor
1,7,BiKRPPjAzvw_000017_000027,BiKRPPjAzvw,17.0,27.0,train,lower,quickly,Two people are quickly lowered to the ground from a tall crane.,lower,quickly
2,12,GwlcmI36imo_000127_000137,GwlcmI36imo,127.0,137.0,train,look,down,A person climbing up a rock cliff with another person up the top looking down,look,downwards
3,15,yCKjqYxQn0E_000261_000271,yCKjqYxQn0E,261.0,271.0,train,smile,up,"A man abseils down a cliff, smiling back up at the camera.",smile,upwards
4,17,9eTXpQq9QTA_000126_000136,9eTXpQq9QTA,126.0,136.0,train,climb,down,a person using a rope to climb down a large piece of wood down to the floor,climb,downwards
5,19,qqJisE6m6XI_000000_000010,qqJisE6m6XI,0.0,10.0,train,hang,down,A man hangs upside down and then falls with the aid of ropes and pulleys.,mount,downwards
6,23,6IbvOJxXnOo_000047_000057,6IbvOJxXnOo,47.0,57.0,train,move,down,The rock climbers are in an open area between two rocks and one of them is trying to move down.,move,downwards
7,24,6IbvOJxXnOo_000047_000057,6IbvOJxXnOo,47.0,57.0,train,climb,carefully,Two people carefully climbing down a mountain through a crack.,climb,carefully
8,25,6IbvOJxXnOo_000047_000057,6IbvOJxXnOo,47.0,57.0,train,climb,slowly,A guy is connected to a rope and slowly climbing down rocks.,climb,slowly
9,33,y3-3i88mNPc_000008_000018,y3-3i88mNPc,8.0,18.0,train,abseil,rapidly,"A person abseils rapidly down a high concrete wall, taking large hops",lower,quickly
10,35,rseBvhN6dio_000003_000013,rseBvhN6dio,3.0,13.0,train,bring,slowly,The guy is doing an exhibition as he slowly brings himself down the building.,carry,slowly
11,36,Zv09PB3YQAs_000010_000020,Zv09PB3YQAs,10.0,20.0,train,lower,slowly,A person is rock climbing and lowers himself slowly down a rock wall.,lower,slowly
12,37,Zv09PB3YQAs_000010_000020,Zv09PB3YQAs,10.0,20.0,train,propel,slowly,A male is slowly propelling down a large mountain rock.,move,slowly
13,39,Zv09PB3YQAs_000010_000020,Zv09PB3YQAs,10.0,20.0,train,descend,slowly,A person is rock climbing and slowly descending on a safety harness back down the mountain.,lower,slowly
14,42,C0VVxIhDp9Q_000021_000031,C0VVxIhDp9Q,21.0,31.0,train,climb,slowly,A child slowly climbs down a cliff with a rope,climb,slowly
15,46,0wR5jVB-WPk_000417_000427,0wR5jVB-WPk,417.0,427.0,train,climb,gently,A man is using a long rope to gently climb down a mountain.,climb,gently
16,51,6_4kjPiQr7w_000191_000201,6_4kjPiQr7w,191.0,201.0,train,remove,properly,A man is demonstrating how to properly remove rope after climbing up a mountain.,take,properly
17,55,gGGlthnIB-4_000036_000046,gGGlthnIB-4,36.0,46.0,train,look,down,A man is rappelling down a rock climbing wall. He looks down and back at the wall.,look,downwards
18,59,IyNBDKyORFs_000243_000253,IyNBDKyORFs,243.0,253.0,train,walk,backwards,A man is walking backwards down the side of a cliff while attached to a rope.,walk,backwards
19,60,3yaoNwz99xM_000062_000072,3yaoNwz99xM,62.0,72.0,train,tip,slowly,A harnessed man uses ropes to slowly tip over the edge of a building while another holds him.,tilt,slowly
20,62,p1VKQa4N-hg_000000_000010,p1VKQa4N-hg,0.0,10.0,train,climb,slowly,A guy is using a rope to slowly climb down a rock wall.,climb,slowly
21,63,p1VKQa4N-hg_000000_000010,p1VKQa4N-hg,0.0,10.0,train,descend,slowly,A man is seen slowly descending from a rock cliff with the aid of a strong rope.,lower,slowly
22,71,YHCT_kezpfk_000063_000073,YHCT_kezpfk,63.0,73.0,train,climb,down,A person engages in the activity of rock climbing where they are climbing down and socializing with someone else.,climb,downwards
23,74,YHCT_kezpfk_000063_000073,YHCT_kezpfk,63.0,73.0,train,glide,down,A girl gliding down from a rock wall with a helmet and rope.,move,downwards
24,78,e1fZt2rk89s_000016_000026,e1fZt2rk89s,16.0,26.0,train,walk,down,A person with a rope harness rappels by seemingly walking down perpendicular to the wall.,walk,downwards
25,82,VHJGX13S_UY_000554_000564,VHJGX13S_UY,554.0,564.0,train,climb,down,Two people are on the side of a building climbing down.,climb,downwards
26,84,eHkBHH59-Js_000115_000125,eHkBHH59-Js,115.0,125.0,train,look,down,The camera looks down at two men holding a rope at the bottom of a clip and discussing it.,look,downwards
27,87,7pRfb0t34uo_000158_000168,7pRfb0t34uo,158.0,168.0,train,look,down,The young  boy looks down as he is trying to climb up the waterfalls.,look,downwards
28,97,YgzCJmncmUA_000027_000037,YgzCJmncmUA,27.0,37.0,train,climb,slowly,Two people are slowly climbing down a steep rock wall.,climb,slowly
29,98,bFdTLPL8TTM_000169_000179,bFdTLPL8TTM,169.0,179.0,train,climb,outside,Outside a man is climbing up a rope next to a waterfall.,climb,outdoor
30,105,eA6KqKuVj-I_000022_000032,eA6KqKuVj-I,22.0,32.0,train,fall,almost,a group of people trying to climb up a wall as hes supported by a large rope then almost falls,fall,partially
31,116,MDnmHCi1MVc_000023_000033,MDnmHCi1MVc,23.0,33.0,train,stand,inside,A man is standing inside of a room having a conversation with another man.,stand,indoor
32,139,CYPOWMwa4EE_000238_000248,CYPOWMwa4EE,238.0,248.0,train,stand,quietly,"A group of men stands quietly on stage, while one of them is performing.",stand,quietly
33,144,dJ7grQeSC9k_000114_000124,dJ7grQeSC9k,114.0,124.0,train,speak,loudly,A man is speaking loudly while a woman is sitting beside him watching.,talk,loudly
34,195,ZHPY-6iIQJE_000014_000024,ZHPY-6iIQJE,14.0,24.0,train,walk,out,"A man is speaking on a stage with a black background and a table, and a woman walks out to the table.",walk,out
35,203,BR0RHXGuEas_000243_000253,BR0RHXGuEas,243.0,253.0,train,look,forward,A man on a stage holding something looks offstage then forward as he speaks.,look,forwards
36,209,CFXqyl4C1J4_000238_000248,CFXqyl4C1J4,238.0,248.0,train,remove,slowly,"A group of people are standing covering their faces with their hands and removing it slowly,",take,slowly
37,222,L79brMj9E_A_000015_000025,L79brMj9E_A,15.0,25.0,train,pull,downwards,"An agitated girl on a stage steps side to side nervously pulling her shirt downwards, asks not to be judged and says something about her parents  and finally shrugs her shoulders with her arms out in front of her palms down.",pull,downwards
38,261,XrzsgvTECL8_000031_000041,XrzsgvTECL8,31.0,41.0,train,turn,back,"A woman puts on glasses, turns her head to the side, turns back, and takes them off.",turn,backwards
39,267,Pb-uJ_wSK_0_000037_000047,Pb-uJ_wSK_0,37.0,47.0,train,bend,backwards,Twp gloved hands bend a pair of glasses backwards and shows how they go back to their shape.,bend,backwards
40,271,Pb-uJ_wSK_0_000037_000047,Pb-uJ_wSK_0,37.0,47.0,train,fold,back,A person bending their glasses way out and than folding them back.,fold,backwards
