,Unnamed: 0.1.1.1.1,clip_id,youtube_id,start_time,end_time,split,action,adverb,caption,clustered_action,clustered_adverb
0,83427,HhDWKsOwoBQ_000082_000092,HhDWKsOwoBQ,82.0,92.0,train,sit,inside,A young child is sitting inside of a container sledding along a snowy path holding a long stick for balance.,sit,indoor
1,58726,VIIIefJySMU_000037_000047,VIIIefJySMU,37.0,47.0,train,play,rapidly,"A man plays the drums and cymbals rapidly, hitting the cymbals repeatedly.",play,quickly
2,49985,bMhnn3Pmspc_000165_000175,bMhnn3Pmspc,165.0,175.0,train,flip,down,A person is flipping dominoes upside down to see the white only.,turn,downwards
3,21990,Oahv1NdgZnI_000000_000010,Oahv1NdgZnI,0.0,10.0,train,flip,upwards,"A man tries to start his tractor but it won't start at first, then it flips upwards.",turn,upwards
4,47769,j75TsKKmvK8_000000_000010,j75TsKKmvK8,0.0,10.0,train,spin,carefully,A man in a studio prepares and then begins spinning carefully on one leg.,turn,carefully
5,20413,EbsLJqFjfhw_000004_000014,EbsLJqFjfhw,4.0,14.0,train,rotate,slowly,A boat slowly rotating within a marina while people talk to one another.,turn,slowly
6,83259,cRfZ47hAAaU_000028_000038,cRfZ47hAAaU,28.0,38.0,train,walk,outside,"A boy is using a leash to walk a dog outside, the dog makes distance by moving ahead on the trail.",walk,outdoor
7,51041,L65YUjAAK44_000034_000044,L65YUjAAK44,34.0,44.0,train,play,gently,A woman gently plays a harp in a darkened room.,play,gently
8,41948,nVwegA0guFU_000455_000465,nVwegA0guFU,455.0,465.0,train,cover,nicely,Someone is covered nicely with a white sheet then the person is turned over.,cover,properly
9,59,IyNBDKyORFs_000243_000253,IyNBDKyORFs,243.0,253.0,train,walk,backwards,A man is walking backwards down the side of a cliff while attached to a rope.,walk,backwards
10,50939,6uhEInexQwc_000032_000042,6uhEInexQwc,32.0,42.0,train,play,briefly,A man plays the harmonica briefly before talking for a bit.,play,partially
11,72658,5Cgjopi0ydM_000015_000025,5Cgjopi0ydM,15.0,25.0,train,sound,off,An adult male voice in the background sounds off as a toddler with a stick in her hand walks over into a play area with the stick and looks at the camera.,sound,off
12,28323,FYVgES8zbXQ_000104_000114,FYVgES8zbXQ,104.0,114.0,train,take,quietly,nice kid taking haircut from a lady in a saloon quietly,take,quietly
13,36248,x4bU02DoqS0_000020_000030,x4bU02DoqS0,20.0,30.0,train,play,loudly,A man dances to music that is playing loudly by jumping up and down on his feet.,play,loudly
